inscription_id,mutant_name,inscription_number,sat_number,Alpha,Black Uncommon,Block 286,Block 666,Block 78,Block 9,Block 9 450x,Common,First Transaction,Hitman,JPEG,Nakamoto,Omega,Paliblock Palindrome,Palindrome,Pizza,Silk Road,Uncommon,Vintage
28c8ff91ad725a582eb365a79d3cee55b12689b4efb14cd1ae772a9e98923d5ei0,ORDIMUTANT #3729,0,806066450184599,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
28c8ff91ad725a582eb365a79d3cee55b12689b4efb14cd1ae772a9e98923d5ei1,ORDIMUTANT #4087,1,806066450184929,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i0,ORDIMUTANT #1065,0,599543210155266,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i1,ORDIMUTANT #712,1,599543210155596,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i2,ORDIMUTANT #697,2,599543210155926,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i3,ORDIMUTANT #3670,3,599543210156256,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i4,ORDIMUTANT #2734,4,599543210156586,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i5,ORDIMUTANT #1748,5,599543210156916,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i6,ORDIMUTANT #908,6,599543210157246,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28e2d5c4d1556d41745bc3f4dae807836fbf741779ea1e1cbf7f7b22a12467e6i7,ORDIMUTANT #1418,7,599543210157576,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
28fb4c434b2f98ff45c655958aa14a1923264ed0a09c3a80dc1205a155b9e306i0,ORDIMUTANT #2743,0,3071337214256,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
28fb4c434b2f98ff45c655958aa14a1923264ed0a09c3a80dc1205a155b9e306i1,ORDIMUTANT #1724,1,3071337214586,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
28fb4c434b2f98ff45c655958aa14a1923264ed0a09c3a80dc1205a155b9e306i2,ORDIMUTANT #4114,2,3071337214916,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
